model	challenge_id	repo	file_path	lemma	gt_n_tactics	gt_n_lines	trivial_body	exact	lev	tokf1	band	easy_outcome	hard_outcome	error
claude-sonnet-5	03368880f2abd6e9	github.com/FormalizedFormalLogic/Foundation	Foundation/Propositional/ConsistentTableau.lean	iff_not_mem₂_mem₁	1	3	1	0	0.2800	0.6000	low	fail	fail	
claude-sonnet-5	03f9877b6b7c5816	github.com/leanprover/cslib	Cslib/Languages/CombinatoryLogic/Recursion.lean	isChurch_trans	8	13	0	0	0.1420	0.1071	low	fail	fail	
claude-sonnet-5	05f6b42658ac096e	github.com/fradamt/verified-consensus	DecoupledConsensus/State/Proof/Invariants.lean	chain_targets_anc	8	18	0	0	0.2144	0.2837	low	fail	fail	
claude-sonnet-5	0733ea13aaaae37a	github.com/kim-em/hex-dev	HexPolyZMathlib/RobinsonForm.lean	norm_eval_robinsonFactor_eq_norm_eval_X_sub_C	27	36	0	0	0.1975	0.5509	low	pass	fail	
claude-sonnet-5	0942fe2ed2dead21	github.com/Verified-zkEVM/CompPoly	CompPoly/Univariate/CMvEquiv.lean	mvToUnivariate_eq_map_finSuccEquiv	16	24	0	0	0.2811	0.2714	low	fail	fail	
claude-sonnet-5	0a5f78f39912afa0	github.com/konnov/leanda	Ben-Or/BenOr/Proofs.lean	senders1_mono	6	10	0	0	0.2252	0.1277	low	fail	fail	
claude-sonnet-5	10171d84a7f98c0f	github.com/lexicone42/shortest-decimal	ShortestDecimal/Interval/Interval32.lean	pow_ef_cancel32	4	5	1	0	0.2500	0.3810	low	fail	fail	
claude-sonnet-5	11e0ea962fc2c31d	github.com/leanprover/TensorLib	TensorLib/Slice.lean	le_div_le	6	6	0	0	0.3171	0.1481	low	fail	fail	
claude-sonnet-5	17de49f70e7d5d1e	github.com/verse-lab/Lentil	Lentil/Rules/Basic.lean	contraposition_for_pred_implies	2	4	1	0	0.2857	0.0645	low	pass	pass	
claude-sonnet-5	19fe8265c1e6f2c2	github.com/powdr-labs/apc-optimizer	ApcOptimizer/Implementation/OptimizerPasses/Reencode.lean	Expression.substF_varsIn_bits	21	28	0	0	0.8506	0.8069	mid	fail	fail	
claude-sonnet-5	1f7dcc7181ec615c	github.com/Linyxus/capless-lean	Capless/Inversion/Typing.lean	Typed.boundary_inv'	20	27	0	0	0.1910	0.2151	low	fail	fail	
claude-sonnet-5	1fbd99eb5aaf285f	github.com/keeganperry7/posix-submatching	PosixSubmatching/POSIX.lean	longest_split_unique	17	25	0	0	0.3709	0.3983	low	fail	pass	
claude-sonnet-5	2092154f552b6444	github.com/Beneficial-AI-Foundation/curve25519-dalek-lean-verify	Curve25519Dalek/Math/Montgomery/Representation.lean	montgomery_helper	5	8	0	0	0.3478	0.3333	low	pass	pass	
claude-sonnet-5	26c4eaeee8c6ce58	github.com/leanprover/SampCert	SampCert/Samplers/Uniform/Properties.lean	double_large_enough	12	20	0	0	0.3141	0.5255	low	fail	fail	
claude-sonnet-5	28a3d1dccdb83b0a	github.com/ionathanch/TTBFL	src/candidates.lean	interpMtyInv	10	9	0	0	0.0854	0.2083	low	fail	fail	
